Unnamed: 0,content,label
516,swear shakira keeps getting gorgeous  definitely looks gorgeous hair way super curly,0
996,fantastic,0
1277,loves,0
42,check video youtube  br    br    br,1
1360,wan na see many people like comment    39  give month,1
404,hey guys know wan na skip please take chance check music   39  young coming rapper big dream appreciate constructive critisism  please look thank time,1
1278,check video youtube   br   got ta dance blast every time hear song     love   br,1
615,many subscribers compared million,1
864,hi guys check youtube channel,1
354,check new video made called  quot  love mind master  quot   thank u much,1
700,hope everyone good spirits   39  hard working student   39  also passionate singer look foward day make music share   39  covers  check channel    39  done covers miley cyrus  imagine dragons  lana del rey  drake  macklemore  pink countless others  subscribe want  goal   39  become famous inspire fyi   39  spamming  everyone right freedom speech  thanks,1
1408,like comment ur watching 2015,1
395,charlie lost,0
1283,wow,0
1222,tension,0
1395,check playlist youtube,1
1257,damn  everywhere,0
45,personally never abusive relationship  probably never    39  hit women  mom dad used hit mom left  relate   39  writing one moment subscribe hear  every fan counts,1
1363,like comment kill  p,1
1048,korean girl slut bitch  hyuna  33,0
591,subscribed  br,1
268,hey guys im 17yr old rapper trying get exposure  live belgium one speaks english resort gay spam  check 2 latest tracks probably best  audio isnt best im gon na invest real equipment next track  please thumbs others see  hey dont check leave response like  thanks advance  guys part making dream come true notorious niko,1
127,1000000 views near,0
1660,love shit disliked sucks,0
153,check video youtube,1
1285,everyday   39  shufflin,0
1817,also luckymusiqlive probably could help u make big think u talent  look name internet  hit u get message,1
1875,check acoustic channel,1
960,incmediaorg truth meets,1
1649,gf,1
980,check views  holy shit,0
778,love itt ppl check channel,1
806,well done shakira,0
1249,song awesome,0
1794,good thing brought sprayon tan  hairstylist  makeup artist  cameraman,0
679,wow,0
790,wow,0
1725,like mee,1
89,check new hot video dante b called riled,1
620,still amazing song   french kpop parody  please come channel watch  share  suscribe  comment thanks,1
1643,check vids  songs awesome  guarantee,1
1258,party time,0
65,goot,0
413,hey go channel check dongs thanks youtuber   39,1
1209,2015  lt  3,0
948,get free gift cards pay pal money,1
1798,katy mine girl dreams,0
1702,please subscribe every sub gets shout tell type videos u want try make happen,1
451,see song open google type shakira guruofmovie,1
131,sick music sick females,0
198,best song ever,0
1622,yay im 11th commenter      crazy please donate bitcoins  1fhenqx1twqm153v2ptayiejnealahzvem,1
1119,follow company twitter thanks,1
981,dear person reading  beautiful loving great day,0
1719,subscribe please,1
83,check video youtube,1
299,love video,0
1424,check video youtube,1
1138,first billion viewed thought really cool  billion half came see stupid first billion,0
1884,6th grade teacher looked exactly like katy perry come think,0
950,follow twitter  amp  ig  killuminati94,1
1883,love music,0
680,love,0
1707,best best video world,0
835,hey guys  im 12 yr old music producer  make chiptunes 8bit music  would wonderful checked 8bit remixes  even gangnamstyle 8bit remix would like check   thanks,1
1292,funny listen rock death metal  like,0
1435,check playlist youtube,1
872,viewed youtube video time,0
204,know maybe one read please type  quot  deazy99  quot    39  rapper dream  know must see like millions everyday please check music subscribe   39  like thank  would love nothing decent following youtube people anyone reading could give  quot  thumbs  quot  might see simple button press could make dream come true  thank time  amp  may god bless,1
887,coming check people still viewing video  apparently  still,0
1692,shit,0
569,loved song teenage years,0
1036,dont see comments mine,0
1093,psy news offıcal,1
1172,best song ever hire  br,0
505,love,0
1553,good song,0
375,friends wife earns 4000dollars month  want wwhore  get type wages working home pc taking surveys  dont believe shit  yahoo taking money mean legit  please like msg gets thru vulnerable people like eminem used,1
1503,check video youtube,1
1229,give like,1
195,bad realtionship like lol,0
415,hate eminem nirvana  trust,0
934,somebody wake get 3 billion views,0
673,believe jesus christ savior sins  truly believe jesus christ savior sins go heaven  believe jesus christ saved salvation gained god ’ righteousness  matters much sinned past  present especially future  believe jesus christ savior go heaven forever whole truth  spread truth,1
485,felt old realized song 5 years old,0
1195,check video youtube,1
473,like,0
852,come follow watch stream,1
594,check video youtube,1
1084,hi guys name dylan irl football videos 1030 subscribers think guys would like content come check subscribe,1
1682,katy perry part katy perry firework katy perry  love,0
874,psykorean,0
1136,subscribe call duty vids give aways goal100 subs,1
751,earn money online 0 efforts  bitly14gkvdo,1
1573,song awesome  guys best  love video hilarious lol  im getting popular fast rap meaning  thumbs piss next water toilet doesnt make noise,1
1403,check playlist youtube,1
701,please visit web  wellcomemdblogfacom,1
573,best world cup offical song,0
248,subscribe pls emi̇nem fans,1
935,psy got lots money youtube got 2 billion views views world,0
184,past christmas dad passed away  help cope picked pen paper started write  little know nearly 9 months ago would bring   39  today  7k subscribers 500k video views  wrote released song yesterday friend mine tried commit suicide several times    39  promise professionally produced music  promise real lyrics  click picture  thanks  thumbs others may see,1
58,subscribe clean eminem,1
1071,watching 2014,0
1276,miss song,0
194,need youtube subscriber mail hermann buchmair fb,1
1076,1 million dislikes  epic fail  ready fanboys,0
1067,get  came views,0
719,part 5 comforter afflicted  pray us help christians  pray us queen angels  pray us queen patriarchs  pray us queen prophets  pray us queen apostles  pray us queen martyrs  pray us queen confessors  pray us queen virgins  pray us queen saints  pray us queen conceived without original sin  pray us queen holy rosary  pray us queen family  pray us queen peace  pray us,1
665,want new song,0
352,eminem fans     check new song  quot  feelin   39  good  quot  jdp click  quot  ghostpoet100  quot  link post thank,1
758,subscribe pagee please,1
1544,like comment  guys started new channel get 200 subscribers tonight ill  20 paypal giveaway like comment friends see others also entered go,1
1160,superr,0
897,check channel  please,1
775,hicheck share songs,1
230,want smack year boy forever,0
1482,check video youtube,1
121,hay dakota u earned subscribee,1
78,fuck cheats megan fox,0
599,pleas subscribe channel,1
76,like comment type 1337,1
1862,champion  gon na hear roar   today champion today champion creator today positive world today blessing healing around today successful creating success,0
695,hi  check share songs,1
655,beutiful,0
1197,remeber good ol   39  days songs   39  butts,0
378,hey mes   39  young coming rapper wan na get music heard know spam wont get fame  moment got way getting little attention please favour check channel drop sub enjoy  im getting started really appreciate take time leave constructive criticism already got 200 subscribers 4000 views first vid ive told potential,1
1697,lt  3 katy perry,0
1773,visit channel,1
1386,check video youtube,1
181,check eminem  amp  kid cudi h watch  vxytcq5nzmua,1
681,like love much people friends  love shakira,0
860,video get 2 billion people checking hit 2 billion yet,0
971,please give us chance check new music video channel  disappointed,1
73,check eminem  rap god lyric video,1
845,check channel please  listen best music ever  p,1
1493,check video youtube,1
1530,everyday   39  subscribe,1
1731,hear time radio really irritating  said  like video,0
1897,katy perry   décio cabelo    decio hair   60 years age   family   single  alone  homeless  alcoholic  15 age 46 invisible composer  dream record songs  could help  please  please  trust give chance  109 videos youtube  deciocabelo canal  katy perry  born october 25   thank much    decio hair,1
738,wow muslims really egoistic  23  world population video donating 1 dollar poor ones africa   shame terrorist muslims,1
22,love song    39  believe 5 years ago    39  get old though,0
1273,like robot shuffles shuffles good,0
1806,hey katycats  releasing movie midnight uk time celebrate katy 30th birthday  sure subscribe channel watch movie,1
1006,liked video youtube,0
1475,check video youtube,1
1852,lets honest  last 1 day jungle  stop living n fairy world,0
1238,4 fucking years fucking past fucking fast fuck,0
1142,party rock  lol  wants shuffle,0
763,subscribe   subscribe back,1
480,check video youtube,1
1367,check video youtube,1
976,funny thing  1700000000 views spam bots  mean cmon 2 billion views  bs,0
1566,watch sound,0
712,always goose bumps part,0
1738,like page yo,1
1240,39  watching summer 2015,0
765,really ask nicely view vids   subscribe back,1
303,u love rihanna subscribe,1
1535,subscribe,1
388,check youtube videos funny cool rap,1
255,working hard past 60 days improve writingrecordingmixingperforming 16 bars everyday im whole year  365 days  today   39  day 60 today work hard   39  2 verses everyday improve   39  going way 365 please subscribe channel help build fan base  watch improve  help get closer dream   39  lyrical keep real   39  leave promise   please subscribe please like commment people see,1
910,please subscribe new youtuber need help please subscribe subscribe back  hoppa hoppa gangam style,1
1483,dear friends please subscribe channel glad see virucide,1
1112,shitty chinese government block youtube  would close 3 billion views right,0
391,lovet,0
1487,want sub  tell channel subscribe  couple exceptions,1
221,charlie lost,0
1764,anyone loves music  please go check youtube page tell think  put video song  trying get started  love much appreciated,1
524,love shakira  br,0
750,wan na laugh    please subscribe channel,1
28,exactly u want  watching favourite rappers tv,0
1232,mindblowing dance    superbbb song,0
1592,hey guys  small youtuber upload videos nearly every single day  hope like shikas please give 2 mins life view channel  new video watch anime free  pretty sure wont regret visiting channel  thank,1
1657,check videos please  hate   give one oportunity,1
147,check video youtube,1
1673,looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt,0
1001,p e c e  amp  l v e,0
1466,check video youtube,1
1834,love katy perry sing nice shakira,0
554,wow  5 years  br,0
304,check music video chanel,1
347,hi everyone  duo starting record freestyles put youtube  could check likecomment would mean much us love  may best recording equipment listen lyrics rhymes think   39  like  please subscribe share love making videos want like much possible feel free comment give us pointers  thank,1
1847,song boring  asinine song ever heard  coming guy liked  teenage dream   song   ever since katy perry divorce wave wave shitty successful songs  saying  next wave pop music   stick ass  katy perry like silly putty,0
1777,hey guys  working last night project  music streamer like spotify  allows download files listen offline  opening free beta  feel free try   download    ehvjzkya  5bgkg2iwphzohwaeuesrwnegqglabco7rw9wfx8hao,1
1827,love,0
1090,4snjqpthqbeum69aqup1ihfphgk5zllsvdqv0zuf0mb  lnuj  ufth4yokfrxyts2zvrrp6qgtw67y  l551h  f7vlczzrg8vgctlpsd9ongewhj8gibu  s3lzmvy  iq2  twsfzz9whn7jusvhufpglqrzczl05fnphagevb3x8ydmc6x  jtcjnmho  vfxwcjzyvwobihrngx2ocjng2pg1evhxzyjdo3hry6f57sprnd2xv  bzszz  8bpsa390875584405933391725794320912  type1  amp  theater,1
753,adfly kld3y,1
905,said video deserve 2billion views  keep visiting watch viewer,0
730,hey youtubers music lover   39   guess skip comments  still reading  thanks  dont money advertisiments  chance getting heard  nothing    39  left spam  sorry  im 17  rappersinger estonia  please listen new cover account  wont regret  give chance  please  take half second life thumb comment  maybe change life  real  thank wafence,1
639,guys check extraordinary website called zonepacom  make money online start working home today  making  3000 per month zonepacom  visit zonepacom check  meat discusss successful memory  peaceful unit arbitrate guide  addition designs worried loss,1
1755,tattoo right tricep say,0
825,please like,1
114,check new hot video dante b called riled,1
635,message  gta v  20 fifa 14  15 ps4  200 galaxy s4 mini  250 ipad 4  200 visit site hhnl,1
882,whats everyone      trying showcase talent world  3000 subscribers  promise  dont suck  please spread covers around  subscribe  amp  share  thanks much support  lucas trigo stay awesome,1
1357,subscribe channel please lol pro plays,1
300,hello   39  bulgaria,0
912,weird video,0
394,know may want read please   39  87 cypher 11 year old rapper skill people said stuff   39  good new stuff good please check current songs comment like thank reading rap life,1
10,help get 50 subs please,1
333,okay trust   39  favor  need check guy named columbus nelson youtube,1
1406,help get 10000000 subscribers tomorrow   br    br    br    br    br    br    br    br    br    br    br    joking   39  get butt hurt,1
951,check gaming,1
799,omg facebook old  check           gt  swagfriends com make thousands cool new friends everyday  join movement,1
900,plizz withing channel,1
1663,great video great artist katy perry  admire creativity  check channel nonsense mobile tech reviews comparisons well iphone 6 6 plus review comparison,1
867,subscribe,1
1233,anyone else think video theme bit insult 28 days later,0
922,0 zero,0
1239,know old song  like  watching 2015,0
1819,put famous people jungle hour look happens,0
805,sooooo beautiful,0
688,wow,0
64,check video youtube,1
1637,follow    gt,1
94,hey everyone    39  dakoda bigelow    39  17 year old singer  rapper producer    39  gained 490000 views far really need views  likes subscribers order make  check brand new music video song gone  also check new song called deaf  moments time would greatly appreciated   39  regret   please thumbs people see  thanks support,1
145,love,0
54,eminem rihanna sing song well,0
367,lem top comments please,0
186,love way lie featuring rhianna  hes awesome rapper    shes awesome singer,0
1765,tiger called katty purry,0
742,hello everyone   know probably pass kind comments  still reading  thanks  ’ money advertisements  chance getting heard  nothing  live small town  comes spam  sorry  ’ instrumental songwriter columbus  mississippi  please go channel check original music  would highly appreciated thumbs comment music heard  thank  adam whitney,1
1052,hey everyone  new channel post videos book reviews music flute  please subscribe would enjoy  thanks,1
995,get money,1
1291,love guys  love song,0
1051,cmon 3 billion views,0
1164,nice girl,0
1390,subscribe channel,1
614,really love watching football also ’ started making income financial risk acquiring bonus deals  ’ weird technique wager something one bookmakers bet betfair  secure bonus income  chap named jim vanstone finding wagers free website vanstone secrets  google    ’ made 500 quid thus far  costfree  guess bookies pay obtain new consumers  yet actually works,1
88,check new hot video dante b called riled,1
926,suscribe channel please,1
1840,οh god  roar liked video vevo  2 months ago justin baby  congrats katy  applause  lt  3,0
335,adam b beats check page 2013,1
1743,download rapid facebook free,1
1662,video inaccurate  tiger would rip face,0
357,love way lie ii nicer opinion,0
450,love,0
746,wan na earn money online without investment  visit link  thergloveblogspotin201308blogpost10html,1
1243,favorite song ever love party rock everybody,0
417,check playlist,1
1684,see  human folly right,0
1504,white people going extinct information subscribe channel search videos  quot  white genocide  quot  thank,1
930,psy  gangnam style   mv,0
1254,like much music  good,0
338,please read      hey everyone    39  19 year old student loves sing  record upload covers channel  would love could check  give chance    39  thumbs subscribe  like hear  listen    39  really appreciate  thank time,1
1786,tiger succumbs beautiful girl  probably male tiger      hahaha,0
1339,likeeeeeeeee,0
1891,qt4q1jb1,1
1062,little psy suffering brain tumor 6 months live  please pray best lucks,0
1836,love katty perry,0
1261,put picture image thingie,1
568,believe soccer promotes terrorism  bad choice  shakira,0
476,best song world,0
609,pleassssssssssssssss subscribeeeeeeeeee channnnnnelll plzz,1
1373,check video youtube,1
1783,hi  would appreciate could help like poster facebook,1
832,checking views,0
895,please halp project,1
1174,party rock anthem love  party rock anthem life,0
937,got ta say funny  well 2 billion worth funny still  clicked everything went uphill  least jb shit  1,0
418,media evil  please see share  w w w farrell report  net top ex uk police intelligence analyst turned whistleblower tony farrell exposes horrific monstrous coverup perpetrated criminals operating crimes inside mainstream entertainment media law firms  beware protect children   devils brutally target innocent people  real criminals linked london   39  77 attacks 2005 must see make viral    also see uk column video 31st january 2013,1
1331,shuffled listening song  illness spreading,0
823,started reading stop  subscribe within one day entire family die want stay alive subscribe right,1
789,hi johnny  1 already know music  thumb  found way   2 want hear original songs completely made 1 person  continue reading  sing  write original musiclyrics  amp  play guitar  bass  drums  amp  keyboards    39  1manband  music completely independent  amp  100  listenersupported  want hear  amp    39  willing help record new album  click namepicture  thank  amp  enjoy music  wish awesome day,1
1244,1000000000 views,0
766,facebook lame 2004  check       swagfriends com make thousands cool new friends everyday  join new movement,1
1547,hey   39  british youtuber    br   upload weekly    br   would mean world could subscribe    br   thanks  joyce    br,1
1787,best song ever,0
1859,people  new network like fb  register also free  difference get paid sharing  commenting liking posts one  waste time fb sharing paid   register make also money everyday posts   wellcome everyone,1
1060,2 billion views song annoying,0
1186,love video song course,0
953,reminds song,1
1529,check video youtube,1
